packet_id,flow_id,priority,arrival_time_ms,outcome,service_time_ms,finish_time_ms,first_tx_time_ms,delivered_time_ms,waiting_ms,queue_delay_ms,tx_time_ms,sojourn_ms,deadline_ms,is_deadline_missed,tx_count,bler,is_success,snr_db,mcs,is_los,bits_per_slot,bits_sent_this_slot,remaining_bits_after,bandwidth_eff_mhz
HRP-000065,HRP,2,260,delivered,260,261,260,261,0,0,1,1,4,False,1,2.894662548214022e-06,True,21.860753375832275,16QAM,False,60000,256,0,20.0
SRP-000013,SRP,3,260,delivered,261,262,261,262,1,1,1,2,50,False,1,1.5999646052478056e-09,True,42.77550427972625,16QAM,False,60000,1600,0,20.0
ETC-000054,ETC,1,262,delivered,262,263,262,263,0,0,1,1,1,False,1,1.2799716841982445e-10,True,34.817199003142235,16QAM,True,60000,128,0,20.0
HRP-000066,HRP,2,264,delivered,264,265,264,265,0,0,1,1,4,False,1,2.559943368396489e-10,True,52.1913423986851,16QAM,False,60000,256,0,20.0
ETC-000055,ETC,1,267,delivered,267,268,267,268,0,0,1,1,1,False,1,1.2799716841982445e-10,True,39.873359865842474,16QAM,False,60000,128,0,20.0
ETC-000056,ETC,1,268,delivered,268,269,268,269,0,0,1,1,1,False,1,0.002541547124414789,True,19.121450030073486,16QAM,False,60000,128,0,20.0
HRP-000067,HRP,2,268,delivered,269,270,269,270,1,1,1,2,4,False,1,2.559943368396489e-10,True,43.94365688634754,16QAM,True,60000,256,0,20.0
HRP-000068,HRP,2,272,delivered,272,273,272,273,0,0,1,1,4,False,1,2.559943368396489e-10,True,41.43311015269064,16QAM,False,60000,256,0,20.0
ETC-000057,ETC,1,275,delivered,275,276,275,276,0,0,1,1,1,False,1,1.2799716841982445e-10,True,38.56000039494409,16QAM,True,60000,128,0,20.0
ETC-000058,ETC,1,276,delivered,276,277,276,277,0,0,1,1,1,False,1,1.2799716841982445e-10,True,40.50310442213363,16QAM,True,60000,128,0,20.0
HRP-000069,HRP,2,276,delivered,277,278,277,278,1,1,1,2,4,False,1,2.559943368396489e-10,True,41.589145840076625,16QAM,False,60000,256,0,20.0
ETC-000059,ETC,1,279,delivered,279,280,279,280,0,0,1,1,1,False,1,1.2799716841982445e-10,True,34.79154444237514,16QAM,False,60000,128,0,20.0
HRP-000070,HRP,2,280,delivered,280,281,280,281,0,0,1,1,4,False,1,2.559943368396489e-10,True,41.434781193050235,16QAM,False,60000,256,0,20.0
SRP-000014,SRP,3,280,delivered,281,282,281,282,1,1,1,2,50,False,1,1.5999646052478056e-09,True,38.577410320773915,16QAM,True,60000,1600,0,20.0
HRP-000071,HRP,2,284,delivered,284,285,284,285,0,0,1,1,4,False,1,2.559943368396489e-10,True,59.35492153719322,16QAM,True,60000,256,0,20.0
HRP-000072,HRP,2,288,delivered,288,289,288,289,0,0,1,1,4,False,1,2.559943368396489e-10,True,26.279912612856027,16QAM,False,60000,256,0,20.0
HRP-000073,HRP,2,292,delivered,292,293,292,293,0,0,1,1,4,False,1,2.559943368396489e-10,True,44.31706160783357,16QAM,True,60000,256,0,20.0
HRP-000074,HRP,2,296,delivered,296,297,296,297,0,0,1,1,4,False,1,2.559943368396489e-10,True,34.38938891775365,16QAM,False,60000,256,0,20.0
HRP-000075,HRP,2,300,delivered,300,301,300,301,0,0,1,1,4,False,1,2.559943368396489e-10,True,25.579056277943263,16QAM,False,60000,256,0,20.0
SRP-000015,SRP,3,300,delivered,301,302,301,302,1,1,1,2,50,False,1,1.5999646052478056e-09,True,31.172650876373172,16QAM,False,60000,1600,0,20.0
ETC-000060,ETC,1,302,delivered,302,303,302,303,0,0,1,1,1,False,1,1.2799716841982445e-10,True,43.61886780191685,16QAM,True,60000,128,0,20.0
