packet_id,attempt_idx,t_tx_start_ms,mcs,snr_db,bler,is_success,bits_sent,remaining_bits_after
SRP-000021,2,422,16QAM,60.410649069261254,1.5999646052478056e-09,True,600,400
SRP-000021,3,423,16QAM,42.53618641655963,1.5999646052478056e-09,True,400,0
HRP-000106,1,424,16QAM,58.09230255982421,2.559943368396489e-10,True,256,0
ETC-000083,1,428,16QAM,26.143111340051167,1.2799716841982445e-10,True,128,0
HRP-000107,1,429,16QAM,48.86391908602902,2.559943368396489e-10,True,256,0
ETC-000084,1,431,16QAM,64.58529173815018,1.2799716841982445e-10,True,128,0
HRP-000108,1,432,16QAM,67.4107427286828,2.559943368396489e-10,True,256,0
ETC-000085,1,433,16QAM,64.59230811018944,1.2799716841982445e-10,True,128,0
HRP-000109,1,436,16QAM,57.93602871152935,2.559943368396489e-10,True,256,0
HRP-000110,1,440,16QAM,65.11584992307482,2.559943368396489e-10,True,256,0
SRP-000022,1,441,16QAM,60.26623613120728,1.5999646052478056e-09,True,600,1000
SRP-000022,2,442,16QAM,51.71992665981083,1.5999646052478056e-09,True,600,400
SRP-000022,3,443,16QAM,52.490013871761825,1.5999646052478056e-09,True,400,0
HRP-000111,1,444,16QAM,57.65440052428982,2.559943368396489e-10,True,256,0
HRP-000112,1,448,16QAM,50.21727802449539,2.559943368396489e-10,True,256,0
HRP-000113,1,452,16QAM,57.572715474596734,2.559943368396489e-10,True,256,0
HRP-000114,1,456,16QAM,54.13298939844207,2.559943368396489e-10,True,256,0
HRP-000115,1,460,16QAM,61.170489517814204,2.559943368396489e-10,True,256,0
SRP-000023,1,461,16QAM,48.44348184453227,1.5999646052478056e-09,True,600,1000
SRP-000023,2,462,16QAM,45.80022606841119,1.5999646052478056e-09,True,600,400
SRP-000023,3,463,16QAM,52.37694374820741,1.5999646052478056e-09,True,400,0
ETC-000086,1,464,16QAM,35.38763962483115,1.2799716841982445e-10,True,128,0
HRP-000116,1,465,16QAM,62.57698878876188,2.559943368396489e-10,True,256,0
ETC-000087,1,468,16QAM,65.52685918199221,1.2799716841982445e-10,True,128,0
ETC-000088,1,469,16QAM,59.3439251037234,1.2799716841982445e-10,True,128,0
ETC-000089,1,470,16QAM,65.2742559969264,1.2799716841982445e-10,True,128,0
ETC-000090,1,471,16QAM,48.751246457831094,1.2799716841982445e-10,True,128,0
HRP-000118,1,472,16QAM,67.80794701923475,2.559943368396489e-10,True,256,0
ETC-000091,1,476,16QAM,54.29103115471676,1.2799716841982445e-10,True,128,0
HRP-000119,1,477,16QAM,52.076876259758265,2.559943368396489e-10,True,256,0
HRP-000120,1,480,16QAM,51.27399231982352,2.559943368396489e-10,True,256,0
SRP-000024,1,481,16QAM,60.22796113798626,1.5999646052478056e-09,True,600,1000
SRP-000024,2,482,16QAM,53.99833161960086,1.5999646052478056e-09,True,600,400
SRP-000024,3,483,16QAM,56.87725782074675,1.5999646052478056e-09,True,400,0
ETC-000092,1,484,16QAM,54.29372908196466,1.2799716841982445e-10,True,128,0
HRP-000121,1,485,16QAM,61.3494467366344,2.559943368396489e-10,True,256,0
ETC-000093,1,487,16QAM,56.51425208120077,1.2799716841982445e-10,True,128,0
ETC-000094,1,488,16QAM,56.00470817395703,1.2799716841982445e-10,True,128,0
HRP-000122,1,489,16QAM,49.24298048014058,2.559943368396489e-10,True,256,0
ETC-000095,1,491,16QAM,67.93252801887712,1.2799716841982445e-10,True,128,0
HRP-000123,1,492,16QAM,62.922956751119145,2.559943368396489e-10,True,256,0
HRP-000124,1,496,16QAM,65.03278759534913,2.559943368396489e-10,True,256,0
HRP-000125,1,500,16QAM,57.45081768464347,2.559943368396489e-10,True,256,0
SRP-000025,1,501,16QAM,59.745984578959224,1.5999646052478056e-09,True,600,1000
SRP-000025,2,502,16QAM,66.43180422917732,1.5999646052478056e-09,True,600,400
SRP-000025,3,503,16QAM,61.73553191846561,1.5999646052478056e-09,True,400,0
HRP-000126,1,504,16QAM,64.54725987362862,2.559943368396489e-10,True,256,0
HRP-000127,1,508,16QAM,49.68491014730013,2.559943368396489e-10,True,256,0
HRP-000128,1,512,16QAM,66.00621966294457,2.559943368396489e-10,True,256,0
HRP-000129,1,516,16QAM,57.58544981067979,2.559943368396489e-10,True,256,0
ETC-000096,1,519,16QAM,59.47454540006632,1.2799716841982445e-10,True,128,0
HRP-000130,1,520,16QAM,64.68178299715424,2.559943368396489e-10,True,256,0
SRP-000026,1,521,16QAM,66.3196299383927,1.5999646052478056e-09,True,600,1000
SRP-000026,2,522,16QAM,59.008815947353,1.5999646052478056e-09,True,600,400
ETC-000097,1,523,16QAM,53.4659359460866,1.2799716841982445e-10,True,128,0
HRP-000131,1,524,16QAM,67.2548027593641,2.559943368396489e-10,True,256,0
SRP-000026,3,525,16QAM,61.476956590581,1.5999646052478056e-09,True,400,0
HRP-000132,1,528,16QAM,52.395483494775206,2.559943368396489e-10,True,256,0
HRP-000133,1,532,16QAM,46.47198718657431,2.559943368396489e-10,True,256,0
HRP-000134,1,536,16QAM,37.120730768856276,2.559943368396489e-10,True,256,0
HRP-000135,1,540,16QAM,59.88631608307634,2.559943368396489e-10,True,256,0
ETC-000098,1,541,16QAM,57.41339760292612,1.2799716841982445e-10,True,128,0
SRP-000027,1,542,16QAM,47.363489961782605,1.5999646052478056e-09,True,600,1000
SRP-000027,2,543,16QAM,39.52923541501741,1.5999646052478056e-09,True,600,400
HRP-000136,1,544,16QAM,63.76531216016359,2.559943368396489e-10,True,256,0
SRP-000027,3,545,16QAM,57.427109051762095,1.5999646052478056e-09,True,400,0
HRP-000137,1,548,16QAM,63.31395106156932,2.559943368396489e-10,True,256,0
ETC-000099,1,551,16QAM,61.4345010677079,1.2799716841982445e-10,True,128,0
ETC-000100,1,552,16QAM,63.93266835418431,1.2799716841982445e-10,True,128,0
HRP-000138,1,553,16QAM,53.4889027243947,2.559943368396489e-10,True,256,0
HRP-000139,1,556,16QAM,51.20233088208589,2.559943368396489e-10,True,256,0
ETC-000101,1,559,16QAM,35.083970426518846,1.2799716841982445e-10,True,128,0
HRP-000140,1,560,16QAM,60.597894278109344,2.559943368396489e-10,True,256,0
SRP-000028,1,561,16QAM,43.38622644167088,1.5999646052478056e-09,True,600,1000
SRP-000028,2,562,16QAM,60.67897383374155,1.5999646052478056e-09,True,600,400
